OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,TotNumberCycles,TotUsingFrozenEggs,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCycle6,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDCansRate6,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDEmbryosRate6,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDImplant6,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDeSETRate6,FshNDHealthSnglLBRate1,FshNDHealthSnglLBRate2,FshNDHealthSnglLBRate3,FshNDHealthSnglLBRate4,FshNDHealthSnglLBRate5,FshNDHealthSnglLBRate6,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDSnglLBRate6,FshNDTwinlLBRate1,FshNDTwinlLBRate2,FshNDTwinlLBRate3,FshNDTwinlLBRate4,FshNDTwinlLBRate5,FshNDTwinlLBRate6,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDLvBirthsRate6,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDPregRate6,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDTransfers6,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,FshNDHealthSnglLB_TransRate6,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDSnglLB_TransRate6,FshNDTwinLB_TransRate1,FshNDTwinLB_TransRate2,FshNDTwinLB_TransRate3,FshNDTwinLB_TransRate4,FshNDTwinLB_TransRate5,FshNDTwinLB_TransRate6,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDLvBirths_TransRate6,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDTransPregRate6,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTotCycles6,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDTransfers6,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEstTransPerRetrievRate6,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDEmbryosRate6,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDImplant6,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,ThwNDHealthSnglLB_TransRate6,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDSnglLB_TransRate6,ThwNDTwinLB_TransRate1,ThwNDTwinLB_TransRate2,ThwNDTwinLB_TransRate3,ThwNDTwinLB_TransRate4,ThwNDTwinLB_TransRate5,ThwNDTwinLB_TransRate6,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDLvBirths_TransRate6,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDTransPregRate6,TotBankingCycles1,TotBankingCycles2,TotBankingCycles3,TotBankingCycles4,TotBankingCycles5,TotBankingCycles6,FshDnrTotCycles,ThwDnrTotCycles,FshDnrTransfers,ThwDnrTransfers,FshDnrEmbryosRate,ThwDnrEmbryosRate,FshDnrImplant,ThwDnrImplant,FshDnrHealthSnglLB_TransRate,ThwDnrHealthSnglLB_TransRate,FshDnrSnglLB_TransRate,ThwDnrSnglLB_TransRate,FshDnrTwinLB_TransRate,ThwDnrTwinLB_TransRate,FshDnrLvBirths_TransRate,ThwDnrLvBirths_TransRate,FshDnrTransPregRate,ThwDnrTransPregRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
189,BOSTON IVF AT THE WOMEN'S HOSPITAL,,NEWBURGH,INDIANA,100%,50%,0%,0%,6%,9%,15%,13%,28%,13%,19%,1%,14%,8%,5%,79,0,"Daniel W. Griffin, MD",36,15,5,7,1,0,5.6,3 / 15,3 / 5,3 / 7,0 / 1,,1.7,2.0,2.5,2.3,,,54.7,12.5,2 / 5,1 / 7,,,30.0,1 / 10,0 / 2,0 / 3,,,22.2,3 / 15,1 / 5,0 / 7,0 / 1,,36.1,3 / 15,1 / 5,0 / 7,0 / 1,,19.4,0 / 15,0 / 5,0 / 7,0 / 1,,55.6,3 / 15,1 / 5,0 / 7,0 / 1,,58.3,3 / 15,1 / 5,2 / 7,0 / 1,,32,12,2,4,0,0,25.0,3 / 12,1 / 2,0 / 4,,,40.6,3 / 12,1 / 2,0 / 4,,,21.9,0 / 12,0 / 2,0 / 4,,,62.5,3 / 12,1 / 2,0 / 4,,,65.6,3 / 12,1 / 2,2 / 4,,,10,0,1,0,2,0,10,0,1,0,2,0,1.0,,1.0,,,,1.4,,2.0,,2.5,,6 / 13,,0 / 2,,0 / 5,,3 / 10,,0 / 1,,0 / 2,,3 / 10,,0 / 1,,0 / 2,,1 / 10,,0 / 1,,0 / 2,,4 / 10,,0 / 1,,0 / 2,,5 / 10,,0 / 1,,0 / 2,,1,0,0,0,0,0,1,0,1,0,2.0,,1 / 2,,1 / 1,,1 / 1,,0 / 1,,1 / 1,,1 / 1,,This clinic has closed or reorganized since 2013.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,,0,IN
190,"WOMEN'S SPECIALTY HEALTH CENTERS, PC",,NOBLESVILLE,INDIANA,100%,75%,0%,0%,0%,0%,100%,0%,33%,0%,50%,0%,0%,33%,50%,6,0,"David S. McLaughlin, MD",3,1,0,0,0,0,0 / 3,0 / 1,,,,,2.0,3.0,,,,,0 / 2,1 / 3,,,,,0 / 1,0 / 1,,,,,0 / 3,1 / 1,,,,,0 / 3,1 / 1,,,,,0 / 3,0 / 1,,,,,0 / 3,1 / 1,,,,,0 / 3,1 / 1,,,,,1,1,0,0,0,0,0 / 1,1 / 1,,,,,0 / 1,1 / 1,,,,,0 / 1,0 / 1,,,,,0 / 1,1 / 1,,,,,0 / 1,1 / 1,,,,,2,0,0,0,0,0,2,0,0,0,0,0,2.0,,,,,,1.5,,,,,,1 / 3,,,,,,1 / 2,,,,,,1 / 2,,,,,,0 / 2,,,,,,1 / 2,,,,,,1 / 2,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,"Women's Specialty Health Centers, PC",Yes,Yes,Yes,No,Yes,Yes,Yes,0,IN
191,"MID-IOWA FERTILITY, PC",,CLIVE,IOWA,100%,81%,0%,1%,1%,14%,17%,16%,12%,<1%,32%,8%,6%,2%,4%,526,0,"Donald C. Young, DO",167,34,24,7,2,0,13.8,14.7,29.2,4 / 7,1 / 2,,1.8,1.8,2.0,2.0,3.0,,49.3,47.7,26.1,0 / 6,0 / 3,,13.3,0.0,0 / 11,0 / 3,0 / 1,,29.3,29.4,12.5,0 / 7,0 / 2,,32.9,32.4,12.5,0 / 7,0 / 2,,13.2,14.7,4.2,0 / 7,0 / 2,,46.1,47.1,16.7,0 / 7,0 / 2,,55.7,52.9,25.0,0 / 7,0 / 2,,135,27,13,3,1,0,36.3,37.0,3 / 13,0 / 3,0 / 1,,40.7,40.7,3 / 13,0 / 3,0 / 1,,16.3,18.5,1 / 13,0 / 3,0 / 1,,57.0,59.3,4 / 13,0 / 3,0 / 1,,68.9,66.7,6 / 13,0 / 3,0 / 1,,107,26,20,2,2,1,106,25,20,2,1,1,1.4,1.0,1.7,1.0,0.5,,1.6,1.7,1.5,2.0,2.0,2.0,50.9,42.5,44.8,2 / 4,0 / 2,0 / 2,38.7,36.0,30.0,2 / 2,0 / 1,0 / 1,42.5,36.0,40.0,2 / 2,0 / 1,0 / 1,12.3,8.0,5.0,0 / 2,0 / 1,0 / 1,54.7,44.0,45.0,2 / 2,0 / 1,0 / 1,66.0,60.0,60.0,2 / 2,0 / 1,0 / 1,49,20,11,2,2,0,17,33,16,33,1.9,1.8,60.0,46.4,6 / 16,24.2,6 / 16,36.4,5 / 16,12.1,11 / 16,51.5,11 / 16,60.6,"Mid-Iowa Fertility, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,IA
192,UNIVERSITY OF IOWA HOSPITALS AND CLINICS,CENTER FOR ADVANCED REPRODUCTIVE CARE,IOWA CITY,IOWA,100%,56%,0%,0%,<1%,17%,25%,13%,14%,9%,33%,44%,11%,29%,23%,656,9,"Bradley J. Van Voorhis, MD",205,59,51,28,7,0,4.9,15.3,15.7,21.4,0 / 7,,1.4,1.4,2.2,2.7,3.2,,46.7,60.0,28.2,12.5,0 / 19,,60.0,61.0,8.1,0.0,0 / 6,,35.6,32.2,19.6,7.1,0 / 7,,40.5,39.0,25.5,7.1,0 / 7,,4.4,10.2,5.9,0.0,0 / 7,,44.9,49.2,31.4,7.1,0 / 7,,54.1,54.2,45.1,25.0,0 / 7,,186,48,41,21,6,0,39.2,39.6,24.4,9.5,0 / 6,,44.6,47.9,31.7,9.5,0 / 6,,4.8,12.5,7.3,0.0,0 / 6,,49.5,60.4,39.0,9.5,0 / 6,,59.7,66.7,56.1,33.3,0 / 6,,146,52,28,8,4,1,126,44,19,7,4,1,2.5,3.1,2.1,1.8,,,1.4,1.5,1.6,2.0,1.3,2.0,47.4,34.4,50.0,3 / 14,2 / 5,1 / 2,42.9,27.3,7 / 19,2 / 7,1 / 4,0 / 1,47.6,29.5,8 / 19,3 / 7,2 / 4,1 / 1,6.3,4.5,1 / 19,0 / 7,0 / 4,0 / 1,54.0,34.1,9 / 19,3 / 7,2 / 4,1 / 1,60.3,47.7,13 / 19,3 / 7,2 / 4,1 / 1,8,0,2,0,0,0,11,37,9,28,1.0,1.6,6 / 9,46.5,5 / 9,21.4,5 / 9,21.4,0 / 9,21.4,5 / 9,42.9,6 / 9,53.6,"University of Iowa Hospitals and Clinics, Center for Advanced Reproductive Care",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,IA
193,"MIDWEST REPRODUCTIVE CENTER, PA",,OLATHE,KANSAS,100%,90%,0%,2%,5%,21%,35%,20%,18%,7%,46%,5%,9%,14%,32%,306,0,"Dan L. Gehlbach, MD",117,34,27,11,3,0,4.3,11.8,11.1,3 / 11,1 / 3,,2.0,2.3,2.3,3.6,4.5,,29.8,22.2,18.5,6.9,0 / 9,,5.7,3.7,0.0,0 / 8,0 / 2,,17.1,5.9,11.1,1 / 11,0 / 3,,23.1,5.9,14.8,1 / 11,0 / 3,,6.8,14.7,3.7,0 / 11,0 / 3,,33.3,20.6,18.5,1 / 11,0 / 3,,38.5,26.5,25.9,2 / 11,0 / 3,,108,28,24,8,2,0,18.5,7.1,12.5,1 / 8,0 / 2,,25.0,7.1,16.7,1 / 8,0 / 2,,7.4,17.9,4.2,0 / 8,0 / 2,,36.1,25.0,20.8,1 / 8,0 / 2,,41.7,32.1,29.2,2 / 8,0 / 2,,64,15,13,1,1,0,62,15,13,0,1,0,1.7,2.1,2.2,,0.5,,2.5,2.4,2.2,,2.0,,15.3,13.9,10.3,,0 / 2,,12.9,0 / 15,1 / 13,,0 / 1,,17.7,0 / 15,1 / 13,,0 / 1,,4.8,2 / 15,1 / 13,,0 / 1,,22.6,2 / 15,2 / 13,,0 / 1,,32.3,3 / 15,2 / 13,,0 / 1,,1,0,0,0,0,0,9,10,9,10,1.8,2.2,5 / 16,22.7,3 / 9,1 / 10,3 / 9,1 / 10,1 / 9,0 / 10,4 / 9,1 / 10,4 / 9,5 / 10,"Midwest Reproductive Center, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,KS
194,CENTER FOR ADVANCED REPRODUCTIVE MEDICINE,,OVERLAND PARK,KANSAS,100%,74%,0%,<1%,3%,13%,9%,19%,9%,4%,42%,7%,10%,6%,8%,341,1,"S. Samuel Kim, MD",128,30,33,4,3,0,12.5,13.3,30.3,0 / 4,0 / 3,,1.9,2.0,2.2,1.0,3.0,,36.8,28.9,19.4,0 / 1,0 / 6,,6.6,13.6,1 / 14,,0 / 2,,18.0,16.7,9.1,0 / 4,0 / 3,,21.1,16.7,12.1,0 / 4,0 / 3,,10.9,3.3,3.0,0 / 4,0 / 3,,32.0,23.3,15.2,0 / 4,0 / 3,,39.1,33.3,15.2,0 / 4,0 / 3,,96,22,14,1,2,0,24.0,22.7,3 / 14,0 / 1,0 / 2,,28.1,22.7,4 / 14,0 / 1,0 / 2,,14.6,4.5,1 / 14,0 / 1,0 / 2,,42.7,31.8,5 / 14,0 / 1,0 / 2,,52.1,45.5,5 / 14,0 / 1,0 / 2,,55,20,9,3,0,0,48,15,5,3,0,0,1.3,1.9,0.6,0.4,0.0,,1.8,1.7,1.6,1.0,,,36.0,41.7,1 / 8,2 / 3,,,18.8,4 / 15,0 / 5,2 / 3,,,25.0,4 / 15,1 / 5,2 / 3,,,12.5,3 / 15,0 / 5,0 / 3,,,37.5,7 / 15,1 / 5,2 / 3,,,50.0,8 / 15,1 / 5,2 / 3,,,16,4,2,7,3,0,11,12,9,12,1.8,1.8,9 / 16,40.0,1 / 9,2 / 12,1 / 9,3 / 12,4 / 9,0 / 12,5 / 9,3 / 12,5 / 9,4 / 12,Center for Advanced Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,KS
195,REPRODUCTIVE RESOURCE CENTER OF GREATER KANSAS CITY,,OVERLAND PARK,KANSAS,100%,90%,0%,0%,1%,6%,27%,41%,8%,5%,33%,31%,7%,24%,23%,409,12,"Celeste Brabec, MD",72,15,11,1,0,0,12.5,0 / 15,0 / 11,0 / 1,,,1.8,1.7,2.0,1.0,,,44.0,5 / 17,1 / 18,0 / 1,,,6.7,2 / 9,0 / 7,,,,18.1,2 / 15,1 / 11,0 / 1,,,19.4,3 / 15,1 / 11,0 / 1,,,13.9,0 / 15,0 / 11,0 / 1,,,34.7,3 / 15,1 / 11,0 / 1,,,38.9,4 / 15,1 / 11,0 / 1,,,51,10,9,1,0,0,25.5,2 / 10,1 / 9,0 / 1,,,27.5,3 / 10,1 / 9,0 / 1,,,19.6,0 / 10,0 / 9,0 / 1,,,49.0,3 / 10,1 / 9,0 / 1,,,54.9,4 / 10,1 / 9,0 / 1,,,77,43,22,5,2,5,76,42,20,5,1,4,1.0,1.3,1.3,0.6,1.0,,1.5,1.4,1.5,1.2,2.0,1.3,56.9,31.7,44.8,0 / 6,,4 / 5,31.6,26.2,25.0,0 / 5,0 / 1,1 / 4,39.5,26.2,55.0,0 / 5,0 / 1,2 / 4,14.5,7.1,5.0,0 / 5,0 / 1,0 / 4,53.9,33.3,60.0,0 / 5,0 / 1,2 / 4,61.8,38.1,60.0,0 / 5,1 / 1,3 / 4,63,30,15,9,1,0,18,8,17,8,1.7,1.4,62.1,5 / 9,8 / 17,1 / 8,9 / 17,2 / 8,2 / 17,1 / 8,12 / 17,3 / 8,13 / 17,5 / 8,Reproductive Resource Center of Greater Kansas City,Yes,No,Yes,Yes,Yes,Yes,Yes,0,KS
196,THE CENTER FOR REPRODUCTIVE MEDICINE,,WICHITA,KANSAS,100%,60%,0%,5%,2%,16%,17%,37%,23%,7%,36%,8%,4%,18%,19%,182,0,"Bruce L. Tjaden, DO",73,22,8,9,4,0,9.6,9.1,0 / 8,2 / 9,2 / 4,,1.8,1.9,2.1,3.5,3.0,,37.7,30.3,2 / 15,4.8,1 / 6,,35.6,2 / 16,0 / 6,0 / 6,0 / 2,,27.4,22.7,2 / 8,1 / 9,0 / 4,,35.6,31.8,2 / 8,1 / 9,0 / 4,,6.8,4.5,0 / 8,0 / 9,0 / 4,,42.5,36.4,2 / 8,1 / 9,0 / 4,,46.6,36.4,2 / 8,1 / 9,1 / 4,,62,17,7,6,2,0,32.3,5 / 17,2 / 7,1 / 6,0 / 2,,41.9,7 / 17,2 / 7,1 / 6,0 / 2,,8.1,1 / 17,0 / 7,0 / 6,0 / 2,,50.0,8 / 17,2 / 7,1 / 6,0 / 2,,54.8,8 / 17,2 / 7,1 / 6,1 / 2,,34,8,7,1,0,0,34,8,7,1,0,0,2.3,1.6,7.0,0.5,,,1.6,1.8,1.3,1.0,,,36.5,3 / 14,3 / 8,0 / 1,,,17.6,0 / 8,0 / 7,0 / 1,,,29.4,1 / 8,1 / 7,0 / 1,,,5.9,1 / 8,0 / 7,0 / 1,,,38.2,2 / 8,1 / 7,0 / 1,,,50.0,2 / 8,3 / 7,0 / 1,,,0,0,0,0,0,0,10,6,8,4,1.5,1.3,5 / 10,4 / 5,2 / 8,2 / 4,3 / 8,2 / 4,1 / 8,1 / 4,4 / 8,3 / 4,5 / 8,3 / 4,The Center for Reproductive Medicine,Yes,No,Yes,Yes,Yes,Yes,Yes,0,KS
197,BLUEGRASS FERTILITY CENTER,,LEXINGTON,KENTUCKY,100%,89%,0%,0%,<1%,17%,9%,21%,20%,<1%,60%,14%,<1%,7%,29%,175,2,"James W. Akin, MD",64,22,16,3,0,0,1.6,9.1,1 / 16,0 / 3,,,2.0,2.4,2.8,2.3,,,48.3,31.9,16.7,0 / 7,,,1.7,5.0,0 / 14,0 / 2,,,23.4,36.4,2 / 16,0 / 3,,,25.0,40.9,2 / 16,0 / 3,,,20.3,9.1,1 / 16,0 / 3,,,50.0,50.0,3 / 16,0 / 3,,,56.3,50.0,6 / 16,0 / 3,,,61,20,15,3,0,0,24.6,40.0,2 / 15,0 / 3,,,26.2,45.0,2 / 15,0 / 3,,,21.3,10.0,1 / 15,0 / 3,,,52.5,55.0,3 / 15,0 / 3,,,59.0,55.0,6 / 15,0 / 3,,,29,5,9,0,0,0,29,5,9,0,0,0,1.5,1.3,1.8,,,,1.9,1.4,1.7,,,,28.0,0 / 7,5 / 15,,,,20.7,0 / 5,1 / 9,,,,31.0,0 / 5,2 / 9,,,,6.9,0 / 5,1 / 9,,,,37.9,0 / 5,3 / 9,,,,41.4,0 / 5,4 / 9,,,,4,4,1,0,0,0,4,12,4,12,2.3,1.8,0 / 9,4 / 18,0 / 4,1 / 12,0 / 4,2 / 12,0 / 4,0 / 12,0 / 4,2 / 12,0 / 4,5 / 12,Bluegrass Fertility Center,Yes,No,Yes,No,Yes,No,Yes,0,KY
198,LEXINGTON FERTILITY CENTER,,LEXINGTON,KENTUCKY,100%,89%,0%,0%,0%,13%,42%,42%,4%,0%,46%,0%,4%,13%,38%,24,0,"George M. Veloudis, DO",5,1,1,0,1,1,0 / 5,0 / 1,0 / 1,,0 / 1,0 / 1,2.3,2.0,3.0,,4.0,2.0,0 / 9,0 / 2,0 / 3,,0 / 4,0 / 2,0 / 3,0 / 1,0 / 1,,0 / 1,0 / 1,0 / 5,0 / 1,0 / 1,,0 / 1,0 / 1,0 / 5,0 / 1,0 / 1,,0 / 1,0 / 1,0 / 5,0 / 1,0 / 1,,0 / 1,0 / 1,0 / 5,0 / 1,0 / 1,,0 / 1,0 / 1,0 / 5,0 / 1,0 / 1,,0 / 1,0 / 1,4,1,1,0,1,1,0 / 4,0 / 1,0 / 1,,0 / 1,0 / 1,0 / 4,0 / 1,0 / 1,,0 / 1,0 / 1,0 / 4,0 / 1,0 / 1,,0 / 1,0 / 1,0 / 4,0 / 1,0 / 1,,0 / 1,0 / 1,0 / 4,0 / 1,0 / 1,,0 / 1,0 / 1,5,5,1,0,1,0,5,5,1,0,1,0,5.0,,,,,,2.0,2.6,2.0,,2.0,,2 / 10,1 / 13,0 / 2,,0 / 2,,1 / 5,1 / 5,0 / 1,,0 / 1,,1 / 5,1 / 5,0 / 1,,0 / 1,,0 / 5,0 / 5,0 / 1,,0 / 1,,1 / 5,1 / 5,0 / 1,,0 / 1,,2 / 5,1 / 5,0 / 1,,0 / 1,,0,0,0,0,0,0,1,2,1,2,2.0,3.0,0 / 2,0 / 6,0 / 1,0 / 2,0 / 1,0 / 2,0 / 1,0 / 2,0 / 1,0 / 2,0 / 1,0 / 2,Lexington Fertility Center,No,No,Yes,Yes,Yes,No,No,0,KY
199,FERTILITY AND ENDOCRINE ASSOCIATES,LOUISVILLE REPRODUCTIVE CENTER,LOUISVILLE,KENTUCKY,100%,82%,0%,2%,0%,8%,11%,58%,43%,0%,60%,11%,1%,23%,51%,146,0,"Robert J. Homm, MD",35,13,9,3,1,0,5.7,2 / 13,1 / 9,1 / 3,1 / 1,,2.0,2.0,2.1,3.0,,,23.7,31.8,4 / 17,0 / 6,,,9.7,0 / 11,0 / 8,0 / 2,,,14.3,4 / 13,1 / 9,0 / 3,0 / 1,,20.0,4 / 13,2 / 9,0 / 3,0 / 1,,5.7,0 / 13,0 / 9,0 / 3,0 / 1,,28.6,4 / 13,2 / 9,0 / 3,0 / 1,,31.4,7 / 13,4 / 9,0 / 3,0 / 1,,31,11,8,2,0,0,16.1,4 / 11,1 / 8,0 / 2,,,22.6,4 / 11,2 / 8,0 / 2,,,6.5,0 / 11,0 / 8,0 / 2,,,32.3,4 / 11,2 / 8,0 / 2,,,35.5,7 / 11,4 / 8,0 / 2,,,37,10,7,2,3,4,34,8,6,2,3,4,2.6,2.0,6.0,,,,1.9,2.1,1.8,2.0,2.3,2.0,20.6,2 / 17,1 / 10,0 / 4,0 / 7,0 / 8,26.5,1 / 8,0 / 6,0 / 2,0 / 3,0 / 4,26.5,2 / 8,0 / 6,0 / 2,0 / 3,0 / 4,2.9,0 / 8,0 / 6,0 / 2,0 / 3,0 / 4,29.4,2 / 8,0 / 6,0 / 2,0 / 3,0 / 4,32.4,2 / 8,2 / 6,0 / 2,0 / 3,0 / 4,0,0,0,0,0,0,8,14,7,13,1.9,2.2,3 / 13,16.7,1 / 7,2 / 13,1 / 7,2 / 13,1 / 7,1 / 13,2 / 7,3 / 13,2 / 7,5 / 13,"Fertility and Endocrine Associates, Louisville Reproductive Center",Yes,Yes,Yes,Yes,Yes,No,Yes,0,KY
200,FERTILITY FIRST,REPRODUCTIVE ENDOCRINE SERVICES,LOUISVILLE,KENTUCKY,100%,84%,0%,0%,0%,5%,38%,24%,24%,0%,57%,29%,0%,14%,33%,21,0,"Johanna S. Archer, MD",13,0,4,1,1,0,1 / 13,,0 / 4,1 / 1,0 / 1,,1.9,,2.8,,1.0,,47.8,,3 / 11,,0 / 1,,1 / 11,,0 / 4,,,,3 / 13,,1 / 4,0 / 1,0 / 1,,3 / 13,,2 / 4,0 / 1,0 / 1,,4 / 13,,0 / 4,0 / 1,0 / 1,,7 / 13,,2 / 4,0 / 1,0 / 1,,7 / 13,,3 / 4,0 / 1,0 / 1,,12,0,4,0,1,0,3 / 12,,1 / 4,,0 / 1,,3 / 12,,2 / 4,,0 / 1,,4 / 12,,0 / 4,,0 / 1,,7 / 12,,2 / 4,,0 / 1,,7 / 12,,3 / 4,,0 / 1,,2,0,0,0,0,0,1,0,0,0,0,0,0.5,,,,,,2.0,,,,,,1 / 2,,,,,,0 / 1,,,,,,0 / 1,,,,,,0 / 1,,,,,,0 / 1,,,,,,1 / 1,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,"Fertility First, Reproductive Endocrine Services",Yes,No,Yes,No,Yes,No,Yes,0,KY
201,UNIVERSITY OBGYN ASSOCIATES FERTILITY CENTER,,LOUISVILLE,KENTUCKY,100%,58%,0%,<1%,3%,24%,26%,31%,21%,6%,58%,14%,3%,20%,44%,224,0,"Henry C. Bohler, MD",81,36,24,9,6,3,7.4,8.3,12.5,3 / 9,2 / 6,0 / 3,2.0,2.2,2.9,2.8,1.7,3.0,35.3,33.3,26.0,1 / 14,0 / 5,0 / 6,12.3,0.0,0 / 16,0 / 4,0 / 2,0 / 2,17.3,13.9,12.5,1 / 9,0 / 6,0 / 3,22.2,22.2,16.7,1 / 9,0 / 6,0 / 3,9.9,8.3,8.3,0 / 9,0 / 6,0 / 3,34.6,30.6,25.0,1 / 9,0 / 6,0 / 3,40.7,38.9,29.2,1 / 9,0 / 6,0 / 3,70,26,17,5,3,2,20.0,19.2,3 / 17,1 / 5,0 / 3,0 / 2,25.7,30.8,4 / 17,1 / 5,0 / 3,0 / 2,11.4,11.5,2 / 17,0 / 5,0 / 3,0 / 2,40.0,42.3,6 / 17,1 / 5,0 / 3,0 / 2,47.1,53.8,7 / 17,1 / 5,0 / 3,0 / 2,31,9,7,0,1,0,30,8,6,0,1,0,2.0,4.0,2.0,,0.5,,1.9,1.9,2.2,,2.0,,24.1,6 / 15,4 / 11,,,,36.7,4 / 8,1 / 6,,0 / 1,,43.3,4 / 8,2 / 6,,0 / 1,,0.0,1 / 8,0 / 6,,0 / 1,,43.3,5 / 8,2 / 6,,0 / 1,,43.3,5 / 8,4 / 6,,1 / 1,,0,1,0,0,0,0,7,9,4,9,1.8,1.7,4 / 7,4 / 15,3 / 4,2 / 9,3 / 4,2 / 9,0 / 4,1 / 9,3 / 4,3 / 9,3 / 4,3 / 9,University OBGYN Associates Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,KY
